LOT_ID,WAFER_ID,SITE_ID,EQUIPMENT_ID,RECIPE_ID,PROCESS_TIMESTAMP,RS_OHM_SQ
LOT-001,W01,S1,EQ-01,RCP-A,2026-08-20 05:30:00,116.871
LOT-001,W01,S2,EQ-01,RCP-A,2026-08-20 05:30:00,117.594
LOT-001,W01,S3,EQ-01,RCP-A,2026-08-20 05:30:00,117.55
LOT-001,W01,S4,EQ-01,RCP-A,2026-08-20 05:30:00,119.367
LOT-001,W01,S5,EQ-01,RCP-A,2026-08-20 05:30:00,115.837
LOT-001,W02,S1,EQ-01,RCP-A,2026-08-20 05:30:00,119.66
LOT-001,W02,S2,EQ-01,RCP-A,2026-08-20 05:30:00,118.277
LOT-001,W02,S3,EQ-01,RCP-A,2026-08-20 05:30:00,121.608
LOT-001,W02,S4,EQ-01,RCP-A,2026-08-20 05:30:00,121.722
LOT-001,W02,S5,EQ-01,RCP-A,2026-08-20 05:30:00,122.506
LOT-001,W03,S1,EQ-01,RCP-A,2026-08-20 05:30:00,121.381
LOT-001,W03,S2,EQ-01,RCP-A,2026-08-20 05:30:00,119.905
LOT-001,W03,S3,EQ-01,RCP-A,2026-08-20 05:30:00,121.548
LOT-001,W03,S4,EQ-01,RCP-A,2026-08-20 05:30:00,122.71
LOT-001,W03,S5,EQ-01,RCP-A,2026-08-20 05:30:00,118.824
LOT-001,W04,S1,EQ-01,RCP-A,2026-08-20 05:30:00,121.099
LOT-001,W04,S2,EQ-01,RCP-A,2026-08-20 05:30:00,119.923
LOT-001,W04,S3,EQ-01,RCP-A,2026-08-20 05:30:00,122.592
LOT-001,W04,S4,EQ-01,RCP-A,2026-08-20 05:30:00,118.494
LOT-001,W04,S5,EQ-01,RCP-A,2026-08-20 05:30:00,119.457
LOT-001,W05,S1,EQ-01,RCP-A,2026-08-20 05:30:00,120.652
LOT-001,W05,S2,EQ-01,RCP-A,2026-08-20 05:30:00,120.465
LOT-001,W05,S3,EQ-01,RCP-A,2026-08-20 05:30:00,117.049
LOT-001,W05,S4,EQ-01,RCP-A,2026-08-20 05:30:00,120.648
LOT-001,W05,S5,EQ-01,RCP-A,2026-08-20 05:30:00,119.787
LOT-002,W01,S1,EQ-02,RCP-B,2026-08-20 05:41:00,119.568
LOT-002,W01,S2,EQ-02,RCP-B,2026-08-20 05:41:00,119.72
