LOT_ID,WAFER_ID,SITE_ID,EQUIPMENT_ID,RECIPE_ID,PROCESS_TIMESTAMP,RS_OHM_SQ
LOT-001,W01,S1,EQ-01,RCP-A,2026-08-20 05:30:00,118.555
LOT-001,W01,S2,EQ-01,RCP-A,2026-08-20 05:30:00,120.437
LOT-001,W01,S3,EQ-01,RCP-A,2026-08-20 05:30:00,117.019
LOT-001,W01,S4,EQ-01,RCP-A,2026-08-20 05:30:00,121.181
LOT-001,W01,S5,EQ-01,RCP-A,2026-08-20 05:30:00,122.058
LOT-001,W02,S1,EQ-01,RCP-A,2026-08-20 05:30:00,119.185
LOT-001,W02,S2,EQ-01,RCP-A,2026-08-20 05:30:00,120.775
LOT-001,W02,S3,EQ-01,RCP-A,2026-08-20 05:30:00,120.452
LOT-001,W02,S4,EQ-01,RCP-A,2026-08-20 05:30:00,119.29
LOT-001,W02,S5,EQ-01,RCP-A,2026-08-20 05:30:00,118.448
LOT-001,W03,S1,EQ-01,RCP-A,2026-08-20 05:30:00,116.341
LOT-001,W03,S2,EQ-01,RCP-A,2026-08-20 05:30:00,122.539
LOT-001,W03,S3,EQ-01,RCP-A,2026-08-20 05:30:00,119.914
LOT-001,W03,S4,EQ-01,RCP-A,2026-08-20 05:30:00,124.54
LOT-001,W03,S5,EQ-01,RCP-A,2026-08-20 05:30:00,121.487
LOT-001,W04,S1,EQ-01,RCP-A,2026-08-20 05:30:00,120.5
LOT-001,W04,S2,EQ-01,RCP-A,2026-08-20 05:30:00,118.817
LOT-001,W04,S3,EQ-01,RCP-A,2026-08-20 05:30:00,122.506
LOT-001,W04,S4,EQ-01,RCP-A,2026-08-20 05:30:00,119.089
LOT-001,W04,S5,EQ-01,RCP-A,2026-08-20 05:30:00,122.826
LOT-001,W05,S1,EQ-01,RCP-A,2026-08-20 05:30:00,119.283
LOT-001,W05,S2,EQ-01,RCP-A,2026-08-20 05:30:00,120.335
LOT-001,W05,S3,EQ-01,RCP-A,2026-08-20 05:30:00,117.259
LOT-001,W05,S4,EQ-01,RCP-A,2026-08-20 05:30:00,124.218
LOT-001,W05,S5,EQ-01,RCP-A,2026-08-20 05:30:00,119.831
LOT-002,W01,S1,EQ-02,RCP-B,2026-08-20 05:41:00,119.307
LOT-002,W01,S2,EQ-02,RCP-B,2026-08-20 05:41:00,121.46
LOT-002,W01,S3,EQ-02,RCP-B,2026-08-20 05:41:00,118.396
LOT-002,W01,S4,EQ-02,RCP-B,2026-08-20 05:41:00,121.382
LOT-002,W01,S5,EQ-02,RCP-B,2026-08-20 05:41:00,117.892
LOT-002,W02,S1,EQ-02,RCP-B,2026-08-20 05:41:00,120.981
LOT-002,W02,S2,EQ-02,RCP-B,2026-08-20 05:41:00,118.121
LOT-002,W02,S3,EQ-02,RCP-B,2026-08-20 05:41:00,116.693
LOT-002,W02,S4,EQ-02,RCP-B,2026-08-20 05:41:00,118.931
LOT-002,W02,S5,EQ-02,RCP-B,2026-08-20 05:41:00,117.365
LOT-002,W03,S1,EQ-02,RCP-B,2026-08-20 05:41:00,120.996
LOT-002,W03,S2,EQ-02,RCP-B,2026-08-20 05:41:00,120.039
LOT-002,W03,S3,EQ-02,RCP-B,2026-08-20 05:41:00,120.917
LOT-002,W03,S4,EQ-02,RCP-B,2026-08-20 05:41:00,120.164
LOT-002,W03,S5,EQ-02,RCP-B,2026-08-20 05:41:00,119.363
LOT-002,W04,S1,EQ-02,RCP-B,2026-08-20 05:41:00,120.051
LOT-002,W04,S2,EQ-02,RCP-B,2026-08-20 05:41:00,121.894
LOT-002,W04,S3,EQ-02,RCP-B,2026-08-20 05:41:00,119.67
LOT-002,W04,S4,EQ-02,RCP-B,2026-08-20 05:41:00,118.628
LOT-002,W04,S5,EQ-02,RCP-B,2026-08-20 05:41:00,118.254
LOT-002,W05,S1,EQ-02,RCP-B,2026-08-20 05:41:00,119.601
LOT-002,W05,S2,EQ-02,RCP-B,2026-08-20 05:41:00,118.65
LOT-002,W05,S3,EQ-02,RCP-B,2026-08-20 05:41:00,123.385
LOT-002,W05,S4,EQ-02,RCP-B,2026-08-20 05:41:00,117.879
LOT-002,W05,S5,EQ-02,RCP-B,2026-08-20 05:41:00,118.053
LOT-003,W01,S1,EQ-03,RCP-A,2026-08-20 05:52:00,119.449
